




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
eye pigment precursor transport (GO:0006856)	4	4	.56	+	7.20	3.71E-04	2.00E-03
formation of a compartment boundary (GO:0060288)	4	4	.56	+	7.20	3.71E-04	2.00E-03
mitotic actomyosin contractile ring assembly (GO:1903475)	3	3	.42	+	7.20	2.68E-03	1.16E-02
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	3	3	.42	+	7.20	2.68E-03	1.16E-02
response to ether (GO:0045472)	3	3	.42	+	7.20	2.68E-03	1.16E-02
mRNA transcription by RNA polymerase II (GO:0042789)	4	4	.56	+	7.20	3.71E-04	2.00E-03
sex-specific pigmentation (GO:0048071)	3	3	.42	+	7.20	2.68E-03	1.16E-02
female somatic sex determination (GO:0019101)	4	4	.56	+	7.20	3.71E-04	2.00E-03
compound eye corneal lens development (GO:0048058)	3	3	.42	+	7.20	2.68E-03	1.16E-02
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	3	3	.42	+	7.20	2.68E-03	1.16E-02
ectodermal placode morphogenesis (GO:0071697)	4	4	.56	+	7.20	3.71E-04	2.00E-03
ectodermal placode development (GO:0071696)	4	4	.56	+	7.20	3.71E-04	2.00E-03
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	5	5	.69	+	7.20	5.15E-05	3.42E-04
spectrosome organization (GO:0030721)	3	3	.42	+	7.20	2.68E-03	1.15E-02
DNA repair complex assembly (GO:0090735)	3	3	.42	+	7.20	2.68E-03	1.15E-02
mRNA transcription (GO:0009299)	4	4	.56	+	7.20	3.71E-04	1.99E-03
dendrite regeneration (GO:0031104)	3	3	.42	+	7.20	2.68E-03	1.15E-02
cardioblast cell fate specification (GO:0042685)	3	3	.42	+	7.20	2.68E-03	1.15E-02
insect visual primordium formation (GO:0001744)	4	4	.56	+	7.20	3.71E-04	1.99E-03
modulation by host of viral genome replication (GO:0044827)	3	3	.42	+	7.20	2.68E-03	1.15E-02
ectodermal cell fate commitment (GO:0001712)	3	3	.42	+	7.20	2.68E-03	1.15E-02
ectoderm formation (GO:0001705)	3	3	.42	+	7.20	2.68E-03	1.15E-02
arginine catabolic process (GO:0006527)	3	3	.42	+	7.20	2.68E-03	1.15E-02
modulation by host of viral process (GO:0044788)	3	3	.42	+	7.20	2.68E-03	1.15E-02
meiotic cell cycle phase transition (GO:0044771)	3	3	.42	+	7.20	2.68E-03	1.15E-02
conditioned taste aversion (GO:0001661)	3	3	.42	+	7.20	2.68E-03	1.15E-02
cellular response to X-ray (GO:0071481)	3	3	.42	+	7.20	2.68E-03	1.15E-02
negative regulation of neuron projection arborization (GO:0150013)	4	4	.56	+	7.20	3.71E-04	1.99E-03
maintenance of imaginal disc-derived wing hair orientation (GO:0035321)	3	3	.42	+	7.20	2.68E-03	1.15E-02
visual learning (GO:0008542)	4	4	.56	+	7.20	3.71E-04	1.99E-03
gonad morphogenesis (GO:0035262)	7	7	.97	+	7.20	9.89E-07	9.21E-06
cellular response to arsenic-containing substance (GO:0071243)	6	6	.83	+	7.20	7.14E-06	5.75E-05
nuclear axial expansion (GO:0035191)	3	3	.42	+	7.20	2.68E-03	1.15E-02
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407)	3	3	.42	+	7.20	2.68E-03	1.15E-02
